codigo_dane,municipio,tasa_incidencia,tasa_mortalidad
52258,EL TABLÓN DE GÓMEZ,3103.8971,934.8976
52260,EL TAMBO,4791.6769,654.8031
19256,EL TAMBO,2352.216,739.2598
54250,EL TARRA,1370.0272,1339.7838
54261,EL ZULIA,4963.1734,2608.7194
76243,EL ÁGUILA,2397.0174,547.6434
41244,ELÍAS,3679.7897,1292.5686
68264,ENCINO,2442.3299,364.7059
68266,ENCISO,6330.8105,1191.6971
05264,ENTRERRÍOS,6182.1508,1783.1466
05266,ENVIGADO,14409.3961,1928.6511
73268,ESPINAL,9217.1175,3612.7142
25269,FACATATIVÁ,9147.4016,2656.8408
73270,FALAN,2742.1997,1159.0012
17272,FILADELFIA,4404.5755,970.3264
63272,FILANDIA,5605.0599,1270.7867
15272,FIRAVITOBA,4727.7827,868.5183
73275,FLANDES,4456.2026,2339.1192
19290,FLORENCIA,2778.9987,755.8755
18001,FLORENCIA,10936.2915,4875.8882
15276,FLORESTA,3755.2029,998.0905
76275,FLORIDA,4828.4698,3037.7716
68276,FLORIDABLANCA,12836.5028,3882.4539
68271,FLORIÁN,1582.9416,384.8581
44279,FONSECA,6518.8594,2303.7074
81300,FORTUL,3283.9582,1991.993
25281,FOSCA,2930.9393,715.2094
52520,FRANCISCO PIZARRO,816.267,364.8927
05282,FREDONIA,5809.0813,1290.2944
73283,FRESNO,4249.3418,1141.4556
05284,FRONTINO,3062.9135,1274.6693
50287,FUENTEDEORO,3611.4451,2065.3118
47288,FUNDACIÓN,5473.2321,3062.877
52287,FUNES,3615.9682,537.4909
25286,FUNZA,12567.6287,2905.0423
25290,FUSAGASUGÁ,11797.2619,2727.33
25279,FÓMEQUE,4107.2467,945.1959
25288,FÚQUENE,5394.3667,1053.9313
25293,GACHALÁ,4867.4083,274.1364
25295,GACHANCIPÁ,10011.5645,2028.6747
15293,GACHANTIVÁ,4679.4335,1525.9896
25297,GACHETÁ,5776.1336,1316.9072
08296,GALAPA,11938.2957,3937.4688
70235,GALERAS,4096.1568,795.1971
68296,GALÁN,1470.4313,397.3684
25299,GAMA,3189.4212,553.8341
20295,GAMARRA,1822.5016,1328.167
15299,GARAGOA,9010.0989,2198.2329
41298,GARZÓN,7870.3071,2522.3648
41306,GIGANTE,5192.2753,1924.3199
76306,GINEBRA,4899.2034,1277.0438
05306,GIRALDO,5880.6799,821.3011
25307,GIRARDOT,15489.0916,3826.9585
05308,GIRARDOTA,7838.5808,1519.1249
68307,GIRÓN,9342.3663,3235.7587
20310,GONZÁLEZ,3809.7472,1112.4172
54313,GRAMALOTE,3000.7083,423.2045
25312,GRANADA,4239.7918,1231.9852
05313,GRANADA,2680.0784,1254.006
50313,GRANADA,6892.3294,2830.969
68318,GUACA,3615.1333,1278.1941
